"Abpraappaa
(hyp4)","ABpraapppa 
(hyp7)","ABpraapppp 
(hyp7)","ABprappaaa
(P3/4R)","Abprappaap
(P5/6R)","Abprappapp
(P7/8R)","Abprapapap
(P9/10R)","Abprapappa
(P12)",,"Abprappppa
(hyp7)",
"ABarpappap 
(hyp5)","ABarpppaap 
(H2R)","ABarppppaa 
(V1R)","Abarppppap 
(V2R)","Abprappapa
(V3R)","ABarpppppa 
(V4R)",ABprapapaa,"Abarpppppp
(V6R)",,"Abprappppp
(TR)",
"Abarpapapa 
(hyp4)","Abarpaapap 
(hyp7)","ABarpppapa 
(hyp7)","Cpaaaa
(hyp7)","Cpaaap
(hyp7)","Cpaapa
(hyp7)","Cpaapp
(hyp7)","Cpapap
(hyp7)","Cpappd
(hyp7)","Abprappppp
(TR),
Abplappppp (TL),
0.33",
,,"Abarpaappp
(hyp7)","Caaaaa
(hyp7)","Caaaap
(hyp7)","Caaapa
(hyp7)","Caaapp
(hyp7)","Cpapaa
(hyp7)","Caappd
(hyp7)","Abplappppp (TL),
Abprappppp
(TR),
0.33",
"Abplaaapap
(hyp5)","ABplaaappp 
(H1L)","ABarppapaa 
(V1L)","Abarppapap
(V2L)","Abplappapa
(V3L)","Abarppappa
(V4L)",ABplapapaa,"Abarppappp
(V6L)",,"Abplappppp
(TL)",
"Abplaappaa
(hyp4)","ABplaapppa 
(hyp7)","ABplaapppp 
(hyp7)","Abplappaaa
(P3/4L)","Abplappaap
(P5/6L)","Abplappapp
(P7/8L)","Abplapapap
(P9/10L)","Abplapappa
(P11)",,"Abplappppa
(hyp7)",
